geoid,name,name_co,state_abbr,rucc_1974,rucc_1983,rucc_1993,rucc_2003,rucc_2013,rucc_2023,rural_to_nonrural,nonrural_to_rural
01001,RUCC,Autauga,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01003,RUCC,Baldwin,AL,Nonrural,Nonrural,Nonrural,Rural,Nonrural,Nonrural,NA,2003
01005,RUCC,Barbour,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01007,RUCC,Bibb,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01009,RUCC,Blount,AL,Rural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,1983,NA
01011,RUCC,Bullock,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01013,RUCC,Butler,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01015,RUCC,Calhoun,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01017,RUCC,Chambers,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01019,RUCC,Cherokee,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01021,RUCC,Chilton,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01023,RUCC,Choctaw,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01025,RUCC,Clarke,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01027,RUCC,Clay,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01029,RUCC,Cleburne,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01031,RUCC,Coffee,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01033,RUCC,Colbert,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01035,RUCC,Conecuh,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01037,RUCC,Coosa,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01039,RUCC,Covington,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01041,RUCC,Crenshaw,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01043,RUCC,Cullman,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01045,RUCC,Dale,AL,Rural,Nonrural,Nonrural,Rural,Rural,Rural,1983,NA
01047,RUCC,Dallas,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01049,RUCC,DeKalb,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01051,RUCC,Elmore,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01053,RUCC,Escambia,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01055,RUCC,Etowah,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01057,RUCC,Fayette,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01059,RUCC,Franklin,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01061,RUCC,Geneva,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01063,RUCC,Greene,AL,Rural,Rural,Rural,Nonrural,Rural,Nonrural,2003,NA
01065,RUCC,Hale,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01067,RUCC,Henry,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01069,RUCC,Houston,AL,Rural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,1983,NA
01071,RUCC,Jackson,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01073,RUCC,Jefferson,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01075,RUCC,Lamar,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01077,RUCC,Lauderdale,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01079,RUCC,Lawrence,AL,Rural,Rural,Nonrural,Nonrural,Nonrural,Nonrural,1993,NA
01081,RUCC,Lee,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01083,RUCC,Limestone,AL,Nonrural,Rural,Nonrural,Nonrural,Nonrural,Nonrural,NA,1983
01085,RUCC,Lowndes,AL,Rural,Rural,Rural,Nonrural,Nonrural,Nonrural,2003,NA
01087,RUCC,Macon,AL,Rural,Rural,Rural,Rural,Rural,Nonrural,2023,NA
01089,RUCC,Madison,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01091,RUCC,Marengo,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01093,RUCC,Marion,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01095,RUCC,Marshall,AL,Nonrural,Rural,Rural,Rural,Rural,Rural,NA,1983
01097,RUCC,Mobile,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01099,RUCC,Monroe,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01101,RUCC,Montgomery,AL,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,Nonrural,NA,NA
01103,RUCC,Morgan,AL,Rural,Rural,Nonrural,Nonrural,Nonrural,Nonrural,1993,NA
01105,RUCC,Perry,AL,Rural,Rural,Rural,Rural,Rural,Rural,NA,NA
01107,RUCC,Pickens,AL,Rural,Rural,Rural,Rural,Nonrural,Nonrural,2013,NA
